N,K,Solver,p,seed,restart_id,is_best_restart,experiment_phase,Feasibility Ratio (%),Optimization GAP (%),gap_best_of_restarts,Sharpe Ratio In-Sample,Sharpe Ratio Out-of-Sample,Execution Time (s),objective
6,3,Gurobi,,46,,True,N_scaling,100.0,0.0,0.0,2.4822327927971317,0.2709791426255168,0.003787399997236207,-0.17250697778094173
6,3,Simulated Annealing,,46,,True,N_scaling,100.0,0.0,0.0,2.4822327927971317,0.2709791426255168,0.0143233999988297,-0.17250697778094173
6,3,Standard QAOA,3.0,46,0.0,True,N_scaling,89.54944923143012,42.64023030343934,42.64023030343934,1.1512784392775537,2.2780845471088442,0.2949283999914769,-0.09894960516564524
6,3,XY-QAOA,3.0,46,,True,N_scaling,100.0,0.0,0.0,2.4822327927971317,0.2709791426255168,0.283550500011188,-0.17250697778094173
6,3,XY-QAOA Regularized,3.0,46,0.0,True,N_scaling,100.00000000000003,0.0,0.0,2.4822327927971317,0.2709791426255168,0.2904217999894172,-0.17250697778094173
6,3,Gurobi,,47,,True,N_scaling,100.0,0.0,0.0,2.5038422492431045,0.04420129518313849,0.003745199996046722,-0.1409997785482687
6,3,Simulated Annealing,,47,,True,N_scaling,100.0,0.0,0.0,2.5038422492431045,0.04420129518313849,0.011882799997692928,-0.1409997785482687
6,3,Standard QAOA,3.0,47,0.0,True,N_scaling,94.84472173143438,0.0,0.0,2.5038422492431045,0.04420129518313849,0.29678309999872,-0.1409997785482687
6,3,XY-QAOA,3.0,47,,True,N_scaling,100.0,11.271839370460789,11.271839370460789,1.9032648280483149,-0.10162143618143449,0.284159599992563,-0.12510650999760242
6,3,XY-QAOA Regularized,3.0,47,0.0,True,N_scaling,99.99999999999996,48.2210311150475,48.2210311150475,1.2133735901118485,-0.3876504410769264,0.28754820000904147,-0.07300823146235998
6,3,Gurobi,,48,,True,N_scaling,100.0,0.0,0.0,2.3265622218935,0.6913681864853688,0.004528300007223152,-0.14693784234922477
