,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,AVGO,CSCO,ADBE,JPM,V,MA,PG,KO,PEP,JNJ,WMT,DIS,PFE,SAN.MC,BBVA.MC,TEF.MC,ITX.MC,REP.MC,IBE.MC,CABK.MC,SAB.MC,ACS.MC,FER.MC,NFLX,INTC,AMD,QCOM,TXN,HON,AMGN,SBUX,MDLZ,GILD
SAN.MC,0.08434973510055167,0.07797803092519393,0.08516744017261407,0.024847888255850686,0.06464087351523998,0.09054530615235412,0.12850816259042214,0.13182600060019192,0.09644135243340585,0.06476479816765625,0.18985409209241533,0.12978146340017063,0.14521406887999988,0.043368195975901615,0.10467274170500544,0.07751238414542576,0.05288659936631611,0.027543998661346512,0.1343379497647442,0.0646798065233584,0.3292954490509478,0.30484710987920505,0.1937410626785019,0.14909310652607025,0.24666788957091995,0.10151164347680121,0.24349978907984168,0.3389495296263364,0.23917367538988382,0.15646571151127942,0.028351126158689358,0.12262560494049765,0.08046974158565813,0.11046878344164447,0.11175572851011596,0.15511249407927893,0.06247759892437736,0.11946763291263199,0.07950894334488191,0.03359509733391135
BBVA.MC,0.07948298528879935,0.0782283803521455,0.08331762644110925,0.018350190806382363,0.06410162597122634,0.08329308620428809,0.1359990951512275,0.13618360403897328,0.10143262171003024,0.059719425031502314,0.2034417475707638,0.13462858440523498,0.1467669703242377,0.040412384557434754,0.10216014482363328,0.07652781927193165,0.051292784606235216,0.029010458981602223,0.13584628559950723,0.059977961944830474,0.30484710987920505,0.35208110123201014,0.1905770473233196,0.1505424919800196,0.23722947707170886,0.10485240333154695,0.25533166730384066,0.3419239000864609,0.2375284115956317,0.15805640093979806,0.014657712140821734,0.11731619471179054,0.07386697038381003,0.09844798349145674,0.10720512273715412,0.15987046918969214,0.0547114075089977,0.127235570858199,0.08219704178693704,0.03643614794095118
TEF.MC,0.06783732176611262,0.06905083030481586,0.07048287511814773,0.03490099732485586,0.058090970795512585,0.07870065508244015,0.09496219985408089,0.08937623324473266,0.08121964097528099,0.06082474020814152,0.1291858047670174,0.09291014725949874,0.0996403417028345,0.05091332741168992,0.07275893791267919,0.07887697351387932,0.05486385965327014,0.04607462263383768,0.09017725839959705,0.061714935200775076,0.1937410626785019,0.1905770473233196,0.2324887988717178,0.10849130209170714,0.16413385747495807,0.08798819833830122,0.16565213656525415,0.225052950606363,0.14069535153381071,0.10429069856318324,0.030295244131893974,0.09061089513996343,0.07068236057541429,0.08335442780274337,0.08469353815563303,0.09363571614065133,0.06763146123000108,0.09109441861328828,0.07233410350555622,0.0604937825081636
ITX.MC,0.05048208446595155,0.05406114931348062,0.061729955094429294,0.01981037073396102,0.05178459159061065,0.05961581731963557,0.09266034466604728,0.07794751370212197,0.06365824344065382,0.04554711111928202,0.10946581582211053,0.08938258779860991,0.09550375000602479,0.028749658215172676,0.06358695867719559,0.0480164025976374,0.03818878028528645,0.01712410642420314,0.09306199798564513,0.0453331686766497,0.14909310652607025,0.1505424919800196,0.10849130209170714,0.1635304066608054,0.14360574942902815,0.07115903194103997,0.11735020526607631,0.16111454784962806,0.14552064499134054,0.1141408815935587,0.014978980033498917,0.06905727524040345,0.049015152371371336,0.06236495035558472,0.06407081103550664,0.09307094953769932,0.042093757306629495,0.08521138068319137,0.057745469101463776,0.020283726233790548
REP.MC,0.08251769663262819,0.08411487930379283,0.09215956436148567,0.028734432344302795,0.07806031805581834,0.08971433019351217,0.12723011896811598,0.1330274376097368,0.09738483923974109,0.07077706460259436,0.19526495942955358,0.1326124499921436,0.14749870033734125,0.04826434129368258,0.10442710973956532,0.07715282922503408,0.06156146647951274,0.023941269155829278,0.14957803074902595,0.07354061213642452,0.24666788957091995,0.23722947707170886,0.16413385747495807,0.14360574942902815,0.33099933320049374,0.08635874677961727,0.20524058546881235,0.2868782015698417,0.24034746432767926,0.1574130378619376,0.025449410898225836,0.1257513610933274,0.067264203155721,0.11103982684722705,0.1020423207855378,0.1617674538627813,0.07407430973077962,0.1234630001685797,0.086476789736143,0.03980262060033096
IBE.MC,0.06603779277735196,0.06623885856895086,0.05457227221074097,0.03821661663310269,0.053004318094270725,0.0779194060829224,0.0894204466605877,0.07918435694102943,0.054803365866872546,0.06433832083487155,0.08745050575162795,0.066990103162542,0.07313743298099736,0.045962717358672044,0.0568278673899197,0.06250011542594841,0.038859819704400105,0.03684601251706784,0.060212603887788214,0.04486445269256635,0.10151164347680121,0.10485240333154695,0.08798819833830122,0.07115903194103997,0.08635874677961727,0.10156298179662468,0.08504888101727008,0.11204301522918071,0.0893128041283616,0.07772550945012667,0.04138567041830197,0.07675208267004455,0.06612755161511429,0.06620086747416126,0.0680170714896219,0.07340362342130506,0.04961750434290324,0.06245451547957604,0.06074722698976192,0.04239159112986308
CABK.MC,0.07252242981182011,0.06525453293551767,0.0704317988630423,0.018938126862274498,0.04923209811818808,0.05838779479007408,0.11770638298171643,0.1153077895589937,0.08597803115180967,0.05016785539431208,0.16952595659471004,0.10867902249298649,0.12067108030512894,0.03990703332966137,0.08989663270030897,0.06486393234522195,0.04150769398807019,0.020506293496705585,0.12496626379622543,0.051144730591272836,0.24349978907984168,0.25533166730384066,0.16565213656525415,0.11735020526607631,0.20524058546881235,0.08504888101727008,0.2756929295920857,0.3056538243511461,0.18768128314143176,0.1303748233839872,0.016081263701179516,0.09266489210973028,0.054451852018161336,0.09031027427769465,0.08839042927252833,0.1358699734608917,0.043665379007108686,0.10355753838321508,0.0658815102444158,0.037163526853019095
SAB.MC,0.10225277849926019,0.08885264032228829,0.08962735842671356,0.01537432716893922,0.07686070864113548,0.09104609729179966,0.15870556767829905,0.14967550486735753,0.10620918279329591,0.06691375599599447,0.2430490100805407,0.144489367813971,0.16496001721731435,0.057424772821837805,0.11754280379836908,0.09291684625284749,0.05613662932884656,0.03174132825919185,0.17515180724822588,0.06460901452871633,0.3389495296263364,0.3419239000864609,0.225052950606363,0.16111454784962806,0.2868782015698417,0.11204301522918071,0.3056538243511461,0.5736774272588113,0.29150577405821065,0.18228790383292007,0.02297643117797273,0.13125648412962404,0.0891706477235355,0.1206963669472887,0.11334998398820795,0.19352540181344843,0.06332706722260303,0.1487111793139087,0.09822748740102528,0.0349867834255799
ACS.MC,0.0642018303727394,0.06759414851912833,0.0778309666058699,0.013065492078478005,0.06524288345321083,0.0725619390736393,0.12711438428536756,0.14269514340450862,0.07191777015091183,0.05570104649592427,0.18381441609879046,0.12037700503062776,0.13102139721763809,0.028409741626185942,0.09766487924543081,0.057417125491705495,0.04570592364005945,0.011989092844259716,0.1247041267828439,0.061402341930229136,0.23917367538988382,0.2375284115956317,0.14069535153381071,0.14552064499134054,0.24034746432767926,0.0893128041283616,0.18768128314143176,0.29150577405821065,0.4150306809858549,0.18665666111808843,0.016006805080689104,0.11195180875338573,0.050160719421352355,0.09329837349956716,0.08173075451708735,0.16220111242131835,0.034074415838334086,0.11418145024416182,0.07381964758499,0.005951725551304311
FER.MC,0.06464644571169367,0.06294072065274327,0.06277420790247334,0.025669456777762636,0.0535839496538905,0.0713411628942081,0.11833439978865755,0.10481226387153462,0.05727654318707507,0.06046697335481699,0.12719673101472764,0.09812416799527872,0.10126894729442025,0.036560170492199805,0.07574882199311701,0.059109985261951194,0.04213421934015327,0.018514760386997283,0.09392718891463382,0.050398025444032594,0.15646571151127942,0.15805640093979806,0.10429069856318324,0.1141408815935587,0.1574130378619376,0.07772550945012667,0.1303748233839872,0.18228790383292007,0.18665666111808843,0.16961109677583489,0.026452669055805858,0.0844852793119911,0.06536546451020783,0.07832559449581974,0.06282811104632166,0.10933392361463914,0.04297710686381513,0.09444564406068715,0.060773217711685076,0.009258926837825998
NFLX,0.12034339426109085,0.12061080957710682,0.09324802202159042,0.11861697533266917,0.12158501498751825,0.15337314593418774,0.17379226260715072,0.11979896398347722,0.07084852711675406,0.1498095927892056,0.050655374716435664,0.06499101171728959,0.06491580806952686,0.05643542953691653,0.03465039387927451,0.07428786792665407,0.03859365829432684,0.06307502834343386,0.05511273559744365,0.03767083821013697,0.028351126158689358,0.014657712140821734,0.030295244131893974,0.014978980033498917,0.025449410898225836,0.04138567041830197,0.016081263701179516,0.02297643117797273,0.016006805080689104,0.026452669055805858,0.2084667186194092,0.11501773528679246,0.14975264831525065,0.11802546794946966,0.09982103543456662,0.03567869474739836,0.07796782849582247,0.07280069566797888,0.06484303648812231,0.04458072408935065
INTC,0.15638139319078506,0.16726198862149932,0.13526102982377025,0.10293797890809143,0.13409703553948002,0.2019984851656863,0.1725005334589842,0.19046506115886433,0.1488058313076541,0.17158986625804978,0.16230982456189585,0.144188742530161,0.15944997200468833,0.09671958970837738,0.10310996355767345,0.1310053046923834,0.08947880232179073,0.08639520050459755,0.12802206639284675,0.1000642396565411,0.12262560494049765,0.11731619471179054,0.09061089513996343,0.06905727524040345,0.1257513610933274,0.07675208267004455,0.09266489210973028,0.13125648412962404,0.11195180875338573,0.0844852793119911,0.11501773528679246,0.28439267038407484,0.16210651059621414,0.18424781337964974,0.16641449708790837,0.128274246522944,0.1196144445457938,0.14236694476745307,0.11712387726426071,0.082521417680905
AMD,0.18566294276441292,0.1811126903262292,0.1412269896181018,0.1445837325053198,0.15611684598858663,0.2727578435384038,0.2419915205115097,0.1916373545200205,0.1403109898485497,0.19018121424436246,0.12160009034230873,0.14112632140973,0.15546809573244988,0.09264873113621469,0.08462548374886553,0.12191201904013353,0.07604969032056112,0.0851986216714157,0.1230638603131611,0.08293326555371512,0.08046974158565813,0.07386697038381003,0.07068236057541429,0.049015152371371336,0.067264203155721,0.06612755161511429,0.054451852018161336,0.0891706477235355,0.050160719421352355,0.06536546451020783,0.14975264831525065,0.16210651059621414,0.3612109433437739,0.19840459450756798,0.1727809044373859,0.10550715160084492,0.11574535708663973,0.15214835177355573,0.10964097240112308,0.06115243719264142
