,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,AVGO,CSCO,ADBE,JPM,V,MA,PG,KO,PEP,JNJ,WMT,DIS,PFE,SAN.MC,BBVA.MC,TEF.MC,ITX.MC,REP.MC,IBE.MC,CABK.MC,SAB.MC,ACS.MC,FER.MC,NFLX,INTC,AMD,QCOM,TXN,HON,AMGN,SBUX,MDLZ,GILD
JPM,0.02203266322363069,0.01651870662503165,0.01818620823852006,0.017603602479205054,0.015010703339960208,0.03518490909732039,0.020612141013272748,0.025816806160396884,0.01974286995337982,0.013905164580224672,0.03383735141035006,0.013349944661117844,0.014880228542881234,0.0047142641502795155,0.004657712124024726,0.00550413917167108,0.006342019231809732,0.008724977737156744,0.017831740947457698,0.009248662947222009,0.02659592128204658,0.02567266052543595,0.01388094024709957,0.010556185993889838,0.015871466632663672,-0.0009540043231842828,0.02726243796730901,0.03239048787993371,0.014324963943239191,0.0042020474421828186,0.017001030207735964,0.02238340018929265,0.03579445789615351,0.02763855031462326,0.02279279217853154,0.018999591076827128,0.010375934095169136,0.007071668417836288,0.004377745173919749,0.012919538292406765
V,0.025153653926567716,0.025346887849299605,0.02177585746127267,0.02163514083508759,0.021146631369727532,0.03622685013603511,0.026440584122680126,0.022643777313432867,0.018365096176672837,0.028743969121394656,0.013349944661117844,0.031768078380610555,0.032734463906676795,0.00981890151976054,0.009062084911861444,0.010405836757257581,0.007286521877769818,0.008436651936605971,0.013859547467721929,0.011453634926964423,0.010350495905960802,0.012812943550680843,0.00898483702700439,0.013098132741543013,0.008681373902233787,0.003631497804367672,0.005711909080288778,0.006749409556665281,0.011330799799575832,0.009878048870958098,0.02340656850824518,0.0222442162745286,0.04685272949291537,0.0201345607298803,0.02453522135304256,0.015467165113098218,0.011837531873031963,0.01756792317265272,0.010190607955396155,0.009664926348556766
MA,0.029684808256849878,0.030869477861050897,0.02540647050786763,0.02905335301062418,0.032389071082379595,0.04537893216086662,0.02534460312317664,0.02715811058606632,0.02375132821232587,0.035067108520421886,0.014880228542881234,0.032734463906676795,0.04465434179284718,0.012721382508535191,0.009749000021883789,0.012823989974381016,0.008928167441487332,0.010670544455928558,0.01612173762869843,0.014108697608394163,0.00983500590144057,0.013001799464617173,0.006950738600331285,0.015221804802480483,0.011825356356960864,0.005691776283762771,0.007818717109227559,0.007551110965961895,0.012794212364932361,0.01231521914658128,0.02875916105713232,0.025436035448288204,0.05927180726920037,0.02225355972289752,0.029181039260379876,0.018694033208087445,0.01178948648607997,0.02168537212611183,0.014832679176069126,0.010352682067330487
PG,0.008164499824800902,0.010498489902773378,0.008823837249024354,0.009379709014775448,0.006435131729602002,0.010628825673005604,0.004493495321219344,0.0047274078523782265,0.010627513122844453,0.010929222887944295,0.0047142641502795155,0.00981890151976054,0.012721382508535191,0.02641194369211608,0.011641792105471746,0.0127549633990576,0.005700192862515949,0.008876054674006725,0.008583152671038275,0.004920896207337846,-0.00018503660851766846,0.002265880891864368,0.003271764376246718,0.007044775029196159,-0.0011009653621221476,0.004288640305209909,-0.0016513916506445988,-0.002055099207008525,0.0048190598882370175,0.00596757644165973,0.005586057803753672,0.006035990195255771,0.01800279752667259,0.0031115229169902284,0.006721037120058665,0.008177402689756618,0.006236387470795585,0.011919518739498461,0.0127103559947592,0.006469460607284999
KO,0.007091669362628781,0.008801481930002174,0.008197403518818648,0.007226003428077894,0.004856862226956485,0.007345358719556452,0.0014228965523436043,0.005371491666893593,0.0033404144750508874,0.010558034913506731,0.004657712124024726,0.009062084911861444,0.009749000021883789,0.011641792105471746,0.02853622523204793,0.013995313875568025,0.00489112992826288,0.005758855281867878,0.0057460968928250465,0.007301735332270859,0.0037230291256581216,0.004069327810861063,0.0044359646080083985,0.005519021131594668,0.0018791132174496117,0.006172216297506882,-0.0008549072229566953,-0.0017169257870802957,0.0034788291317147495,0.0051460490043306805,0.0027141876445816128,0.004626899378273334,0.012581533692972437,0.0012631923748399358,0.0057872182176388854,0.007183165638730259,0.004639675765421629,0.01046018270850938,0.011178917355454336,0.00733181158433736
PEP,0.011546706011860652,0.011588584663337523,0.010958934960698358,0.009589537535770503,0.008255769188525452,0.010728766691203701,0.0016823783330838604,0.0073250199662384975,0.00899169090667158,0.011289944376539744,0.00550413917167108,0.010405836757257581,0.012823989974381016,0.0127549633990576,0.013995313875568025,0.01868778387674114,0.00772429286927529,0.008466000443020351,0.008814199902277789,0.008906258118916748,0.0033090428092947925,0.0036897219158036638,0.004993206827909241,0.00747974241062435,0.0023202762479637875,0.005940287650386924,0.0012398244389259547,0.0024594857091275596,0.005678029633017528,0.0066257191358953,0.0073608285770397994,0.009345418229255203,0.017689613515109354,0.007656490171637797,0.008160099696956304,0.008796105311424298,0.005243892552100161,0.011275355032614882,0.012349722677424452,0.008193965629582604
JNJ,0.011075996343652295,0.009962648785585773,0.00891216875833566,0.009885214046964049,0.009755258668563213,0.012777268579821833,0.0030608688414267703,0.008754737386532443,0.012685458934443514,0.009836466037254271,0.006342019231809732,0.007286521877769818,0.008928167441487332,0.005700192862515949,0.00489112992826288,0.00772429286927529,0.02666154064698207,0.004048712151654075,0.007502414105680036,0.009473484836729254,0.005602463621054064,0.006689523870085454,0.005212528153874799,0.00492905713609468,0.0060035219957921965,0.0028956972741647404,0.00625495866757756,0.007331955946800961,0.006575365607431197,0.002780207489680177,0.016534222888381755,0.008623565705880775,0.020406501499813993,0.010878402480343422,0.00844310560603865,0.009226398310199014,0.00844408834672003,0.006192206679467261,0.005610131408583449,0.010809152674670603
WMT,0.0065836732210729255,0.010429773633656223,0.008301815302996776,0.01078996815453495,0.0074649189754110445,0.013523066249531562,0.0037968550044491824,0.00786727922485631,0.005635848295610157,0.009876807554129563,0.008724977737156744,0.008436651936605971,0.010670544455928558,0.008876054674006725,0.005758855281867878,0.008466000443020351,0.004048712151654075,0.020010029858258217,0.007919117672819062,0.00508555154361767,0.0066063578759079575,0.006088137570051821,0.005233946445789199,0.007146463907703634,0.0033268001687770626,0.004074397673374973,0.005405635820788095,0.007364842656168062,0.005577263113637497,0.0036971358301670656,0.006563704362431107,0.011026816027075306,0.012457633922281736,0.006413434939648622,0.00788303361178986,0.00769762377012839,0.0034354648238188613,0.006786117297163429,0.008674590576965582,0.004294958510157626
DIS,0.017227907402614488,0.014362033299085506,0.01603229599777463,0.012943105031544272,0.015375759412648163,0.017843637879848346,0.005762281845117514,0.01576979762152026,0.01689469670137106,0.013120897122543083,0.017831740947457698,0.013859547467721929,0.01612173762869843,0.008583152671038275,0.0057460968928250465,0.008814199902277789,0.007502414105680036,0.007919117672819062,0.04804409260661832,0.00596122483417087,0.006373819449160324,0.008464403428797824,0.005264814545710474,0.004315097633271205,0.004899477841801177,0.001310325124424505,0.006070803443019005,0.008786336132080474,0.0036600300298904173,0.005665412644690038,0.00921597292003331,0.013923091354173063,0.024415759290058243,0.015329649275139924,0.015867580425807604,0.014083323169103247,0.008827970911794396,0.014368504585105399,0.009355971492738313,0.0073777199220825115
PFE,0.0149059147144619,0.012171874334153109,0.011953729875438222,0.013666411810047444,0.015194123626286095,0.021673794194924254,0.009277361231584284,0.01439858503297153,0.015394118603166402,0.014211779405930993,0.009248662947222009,0.011453634926964423,0.014108697608394163,0.004920896207337846,0.007301735332270859,0.008906258118916748,0.009473484836729254,0.00508555154361767,0.00596122483417087,0.03560886942951061,0.012105055231375356,0.013192074276182169,0.0073591570776481196,0.011977913497054326,0.009501328674966187,0.003949593045570236,0.009943965478369489,0.01234003000207952,0.012067371947612973,0.003864005622407115,0.014896172828566813,0.011067668171212535,0.0338573036871373,-0.002023637544657043,0.010450968678874706,0.010664468379805857,0.014677414955713257,0.011498953293095833,0.008985413205197232,0.017427245976927113
SAN.MC,0.01688911075985483,0.01595601586184376,0.017568884268741928,0.01760812709188545,0.013459191226633103,0.035136888530558213,0.019391681331464194,0.02297342694005152,0.02216392376304141,0.013564026818139532,0.02659592128204658,0.010350495905960802,0.00983500590144057,-0.00018503660851766846,0.0037230291256581216,0.0033090428092947925,0.005602463621054064,0.0066063578759079575,0.006373819449160324,0.012105055231375356,0.05932061043811849,0.0518170482271548,0.024697495265892044,0.01744640891902933,0.022692546269818092,-0.0006208942810170361,0.05501195491628758,0.06723176004994114,0.026336018677191066,0.006154726288647476,0.02163398971972091,0.021107328423157344,0.029607009093274947,0.021299342240441405,0.021112590047022695,0.014690837782625072,0.009097161348745376,0.004757859547907145,0.002255372147602765,0.014638009187446113
